Period,Region,State,Year,Added & Replaced,Colony Loss,Colony loss %,Disease_unformated,Diseases %,Inventory,"Loss, Colony Collapse Disorder",Other causes %,Other Causes_unformatted,Other Pests %,Other pests_unformatted,Percent Colony Loss,Pesticides %,pesticides_unformatted,Renovated - Inventory,Renovated - Inventory Measured In Pct Of Colonies,Renovated - Inventory Pct,Unknown Causes %,Unknown_unformatted,Varroa Mites %,Varroa Mites_unformatted
OCT THRU DEC,South,FLORIDA,2018,53000,43000,0.15,9,0.09,240000,,0.08,8,0.224,22.4,15,0.141,14.1,20000,,7,0.067,6.7,46.70%,46.7
APR THRU JUN,South,NORTH CAROLINA,2016,10000,1600,0.07,4.7,0.047,23000,,0.083,8.3,0.235,23.5,7,0.338,33.8,550,,2,0.417,41.7,51.80%,51.8
APR THRU JUN,South,WEST VIRGINIA,2018,2300,570,0.08,0.9,0.009,7000,,0.136,13.6,0.075,7.5,8,0.029,2.9,550,,8,0.079,7.9,13.80%,13.8
OCT THRU DEC,Midwest,OHIO,2018,170,2100,0.14,0.1,0.001,15500,,0.024,2.4,0.058,5.8,14,0.081,8.1,450,,3,0.099,9.9,29.30%,29.3
OCT THRU DEC,South,MISSISSIPPI,2017,280,3400,0.15,1.4,0.014,14000,,0.015,1.5,0.061,6.1,15,0.015,1.5,830,,4,0.041,4.1,19.30%,19.3
OCT THRU DEC,South,KENTUCKY,2018,60,2000,0.29,1.2,0.012,7000,,0.055,5.5,0.419,41.9,29,0.068,6.8,430,,6,0.043,4.3,57.10%,57.1
JAN THRU MAR,West,OREGON,2021,1600,3100,0.04,1.4,0.014,76000,4500,0.012,1.2,0.107,10.7,4,0,0,610,,1,0.006,0.6,12.80%,12.8
JAN THRU MAR,West,UTAH,2022,4600,4100,0.13,3,0.03,28000,1700,,,0.015,1.5,13,0,0,740,,2,0.005,0.5,3.20%,3.2
JUL THRU SEP,Midwest,WISCONSIN,2021,1500,7000,0.11,20.3,0.203,66000,2100,0.153,15.3,0.368,36.8,11,0.312,31.2,4300,,7,0.08,8,56.00%,56
JAN THRU MAR,South,WEST VIRGINIA,2021,200,1200,0.13,0.7,0.007,7000,480,0.012,1.2,0.033,3.3,13,0.026,2.6,460,,5,0.031,3.1,13.60%,13.6
OCT THRU DEC,South,FLORIDA,2019,28000,30000,0.1,7.8,0.078,270000,10000,0.078,7.8,0.256,25.6,10,0.117,11.7,15000,,5,0.048,4.8,43.50%,43.5
APR THRU JUN,Midwest,KANSAS,2017,2500,390,0.07,0.7,0.007,3800,,0.017,1.7,0.085,8.5,7,0.226,22.6,870,,15,0.064,6.4,17.30%,17.3
JAN THRU MAR,Midwest,SOUTH DAKOTA,2015,8500,4600,0.05,0.3,0.003,50000,,0.012,1.2,0.009,0.9,5,0.005,0.5,2800,,3,0.018,1.8,1.20%,1.2
JUL THRU SEP,South,KENTUCKY,2015,170,1300,0.13,1.2,0.012,10000,,0.09,9,0.113,11.3,13,0.065,6.5,550,,6,0.02,2,40.40%,40.4
JUL THRU SEP,South,VIRGINIA,2019,350,570,0.06,0.9,0.009,9000,80,0.027,2.7,0.183,18.3,6,0.013,1.3,820,,9,0.031,3.1,37.90%,37.9
OCT THRU DEC,South,LOUISIANA,2019,70,2300,0.05,3.5,0.035,41000,810,0.061,6.1,0.185,18.5,5,0.007,0.7,80,,,0.009,0.9,33.00%,33
JAN THRU MAR,Northeast,NEW JERSEY,2020,800,430,0.07,0.5,0.005,6500,60,0.032,3.2,0.029,2.9,7,,,40,,1,0.023,2.3,9.40%,9.4
OCT THRU DEC,West,OREGON,2015,200,8500,0.08,1.5,0.015,100000,,0.017,1.7,0.013,1.3,8,0.015,1.5,1400,,1,0.015,1.5,16.40%,16.4
OCT THRU DEC,Northeast,PENNSYLVANIA,2021,250,2400,0.09,3.5,0.035,26000,830,0.07,7,0.082,8.2,9,0.034,3.4,150,,1,0.011,1.1,30.30%,30.3
OCT THRU DEC,Midwest,MICHIGAN,2020,2400,10500,0.1,5.3,0.053,97000,4500,0.036,3.6,0.054,5.4,10,0.031,3.1,1600,,2,0.043,4.3,42.90%,42.9
APR THRU JUN,West,ARIZONA,2018,14000,2600,0.13,32.8,0.328,19000,,0.143,14.3,0.072,7.2,13,0.008,0.8,2100,,11,0.041,4.1,73.80%,73.8
OCT THRU DEC,Northeast,CONNECTICUT,2021,140,180,0.05,0.6,0.006,4000,90,0.006,0.6,0.006,0.6,5,0.006,0.6,130,,3,0.028,2.8,20.60%,20.6
APR THRU JUN,Northeast,NEW JERSEY,2018,1300,270,0.02,,,4400,,0.034,3.4,0.033,3.3,2,0.001,0.1,170,,1,0.001,0.1,16.50%,16.5
APR THRU JUN,West,UTAH,2015,10000,3400,0.13,1.5,0.015,24000,,0.056,5.6,0.108,10.8,13,0.123,12.3,3900,,14,0.012,1.2,27.20%,27.2
OCT THRU DEC,West,COLORADO,2017,1500,7000,0.21,0.2,0.002,34000,,0.155,15.5,0.007,0.7,21,0.2,20,4000,,12,0.053,5.3,30.20%,30.2
OCT THRU DEC,South,KENTUCKY,2020,380,1100,0.1,0,0,11500,150,0.082,8.2,0.088,8.8,10,0,0,520,,5,0.09,9,23.80%,23.8
JUL THRU SEP,South,MISSISSIPPI,2021,770,1900,0.1,1.3,0.013,18500,460,0.03,3,0.011,1.1,10,,,310,,2,0.078,7.8,25.30%,25.3
JUL THRU SEP,South,ALABAMA,2021,950,1400,0.15,0.9,0.009,9500,170,0.163,16.3,0.259,25.9,15,0.11,11,280,,3,0.019,1.9,37.40%,37.4
JUL THRU SEP,West,CALIFORNIA,2017,73000,67000,0.1,5.6,0.056,590000,,0.101,10.1,0.158,15.8,10,0.134,13.4,74000,,11,0.036,3.6,42.30%,42.3
JUL THRU SEP,South,ALABAMA,2020,1800,3700,0.19,0,0,9000,240,0.054,5.4,0.291,29.1,19,0.12,12,990,,5,0.117,11.7,64.90%,64.9
APR THRU JUN,Midwest,SOUTH DAKOTA,2016,15000,11000,0.06,1.7,0.017,51000,,0.154,15.4,0.066,6.6,6,0.051,5.1,13000,,7,0.001,0.1,32.40%,32.4
JAN THRU MAR,Midwest,WISCONSIN,2016,530,3100,0.15,1.1,0.011,20000,,0.108,10.8,0.016,1.6,15,0.134,13.4,0,,0,0.104,10.4,24.20%,24.2
OCT THRU DEC,Midwest,NEBRASKA,2018,7000,5000,0.11,0.7,0.007,45000,,0.029,2.9,0.007,0.7,11,0.003,0.3,840,,2,0.01,1,3.00%,3
JAN THRU MAR,Midwest,MINNESOTA,2018,8000,3900,0.06,1.9,0.019,39000,,0.011,1.1,0.007,0.7,6,0.006,0.6,2900,,5,0.016,1.6,2.00%,2
JAN THRU MAR,South,LOUISIANA,2019,9000,3500,0.07,0.1,0.001,49000,550,0.01,1,0.013,1.3,7,0.003,0.3,16000,,31,0.007,0.7,57.80%,57.8
OCT THRU DEC,West,WASHINGTON,2021,1400,6500,0.08,2,0.02,79000,4500,0.076,7.6,0.027,2.7,8,0.025,2.5,2300,,3,0.008,0.8,42.30%,42.3
APR THRU JUN,West,UTAH,2021,9500,3800,0.12,10.3,0.103,20000,540,,,0.257,25.7,12,0.187,18.7,3700,,12,0.014,1.4,40.00%,40
JAN THRU MAR,West,OREGON,2018,16500,4800,0.05,1.2,0.012,81000,,0.037,3.7,0.007,0.7,5,0.067,6.7,3900,,4,0.01,1,36.00%,36
OCT THRU DEC,West,OREGON,2019,650,15000,0.12,4.7,0.047,115000,2600,0.166,16.6,0.021,2.1,12,0.018,1.8,2000,,2,0.16,16,35.80%,35.8
JUL THRU SEP,South,ARKANSAS,2017,4400,6000,0.21,0,0,29000,,0.093,9.3,0.091,9.1,21,0.17,17,410,,1,0.023,2.3,61.40%,61.4
JAN THRU MAR,South,NORTH CAROLINA,2015,6000,7000,0.27,0.1,0.001,24000,,0.062,6.2,0.023,2.3,27,0.229,22.9,690,,3,0.122,12.2,35.50%,35.5
APR THRU JUN,Midwest,NORTH DAKOTA,2018,23000,23000,0.05,4.9,0.049,74000,,0.049,4.9,0.079,7.9,5,0.047,4.7,64000,,14,0.043,4.3,34.80%,34.8
APR THRU JUN,South,KENTUCKY,2016,2100,450,0.08,1.7,0.017,5500,,0.16,16,0.361,36.1,8,0.284,28.4,270,,5,0.038,3.8,38.90%,38.9
OCT THRU DEC,West,COLORADO,2016,2500,4500,0.15,0.1,0.001,30000,,0.13,13,0.013,1.3,15,0.031,3.1,0,,0,0.001,0.1,32.40%,32.4
JAN THRU MAR,Midwest,IOWA,2017,70,3000,0.19,8.4,0.084,10000,,0.119,11.9,0.083,8.3,19,0.12,12,0,,0,0.117,11.7,33.60%,33.6
JAN THRU MAR,Midwest,OHIO,2021,120,4000,0.23,2.9,0.029,17500,180,0.082,8.2,0.144,14.4,23,0.02,2,20,,,0.049,4.9,26.60%,26.6
JUL THRU SEP,South,NORTH CAROLINA,2018,2600,2200,0.12,11.4,0.114,18000,,0.114,11.4,0.179,17.9,12,0.084,8.4,2000,,11,0.031,3.1,66.00%,66
JAN THRU MAR,West,WASHINGTON,2016,5500,13500,0.09,1.3,0.013,77000,,0.019,1.9,0.105,10.5,9,0.017,1.7,1200,,1,0.051,5.1,23.30%,23.3
OCT THRU DEC,South,MISSISSIPPI,2016,330,2400,0.08,0.1,0.001,17500,,0.021,2.1,0.06,6,8,0,0,60,,0,0.028,2.8,21.90%,21.9
JUL THRU SEP,South,SOUTH CAROLINA,2018,670,1400,0.12,0.7,0.007,9500,,0.076,7.6,0.534,53.4,12,0.324,32.4,1100,,10,0.009,0.9,76.80%,76.8
OCT THRU DEC,West,UTAH,2017,480,2000,0.07,11,0.11,29000,,0.094,9.4,0.089,8.9,7,0.092,9.2,70,,,0.198,19.8,24.30%,24.3
APR THRU JUN,West,UTAH,2017,12500,2700,0.09,0.3,0.003,21000,,0.126,12.6,0.013,1.3,9,0.001,0.1,10000,,32,0,0,36.70%,36.7
JAN THRU MAR,South,LOUISIANA,2016,9500,11000,0.2,18.6,0.186,54000,,0.124,12.4,0.142,14.2,20,0.004,0.4,2600,,5,0.019,1.9,22.80%,22.8
JAN THRU MAR,Northeast,MAINE,2015,20,380,0.06,0,0,3100,,0.075,7.5,0.001,0.1,6,0,0,0,,0,0.019,1.9,4.40%,4.4
JUL THRU SEP,South,SOUTH CAROLINA,2019,2000,2200,0.15,0.6,0.006,14500,80,0.196,19.6,0.116,11.6,15,0.162,16.2,1400,,10,0.037,3.7,44.90%,44.9
APR THRU JUN,Northeast,VERMONT,2016,480,20,0,0.1,0.001,5000,,0.003,0.3,0.001,0.1,0,0,0,30,,1,0.001,0.1,2.60%,2.6
JAN THRU MAR,Northeast,NEW JERSEY,2019,130,310,0.05,0,0,6000,0,0.035,3.5,0.044,4.4,5,0,0,60,,1,0.006,0.6,15.30%,15.3
APR THRU JUN,West,WASHINGTON,2016,21000,6000,0.04,3.3,0.033,91000,,0.111,11.1,0.114,11.4,4,0.031,3.1,11500,,8,0.006,0.6,40.90%,40.9
OCT THRU DEC,Midwest,KANSAS,2016,200,1300,0.26,0.3,0.003,5000,,0.051,5.1,0.083,8.3,26,0.031,3.1,0,,0,0.014,1.4,29.20%,29.2
OCT THRU DEC,Northeast,MAINE,2019,110,770,0.07,0.1,0.001,11500,100,0.003,0.3,0,0,7,0.025,2.5,40,,,0.002,0.2,20.50%,20.5
OCT THRU DEC,Northeast,MASSACHUSETTS,2020,270,390,0.04,,,10000,250,,,0.012,1.2,4,,,90,,1,0.009,0.9,17.40%,17.4
JAN THRU MAR,South,MARYLAND,2017,770,2100,0.23,1,0.01,9000,,0.119,11.9,0.033,3.3,23,0.01,1,260,,3,0.043,4.3,11.30%,11.3
JUL THRU SEP,Midwest,IOWA,2017,2100,2200,0.05,2.4,0.024,40000,,0.04,4,0.072,7.2,5,0.039,3.9,4000,,9,0.022,2.2,17.20%,17.2
JAN THRU MAR,West,IDAHO,2015,2600,3700,0.04,12.5,0.125,81000,,0.089,8.9,0.067,6.7,4,0.048,4.8,8000,,9,0.049,4.9,39.80%,39.8
APR THRU JUN,Midwest,OHIO,2021,8000,820,0.06,6.6,0.066,13000,100,0.071,7.1,0.378,37.8,6,0.041,4.1,2400,,18,0.031,3.1,62.10%,62.1
JUL THRU SEP,Northeast,CONNECTICUT,2017,50,130,0.04,0.1,0.001,3500,,0.13,13,0.015,1.5,4,0,0,20,,1,0,0,25.10%,25.1
JUL THRU SEP,Midwest,INDIANA,2015,1400,1600,0.11,4.8,0.048,15000,,0.01,1,0.103,10.3,11,0.082,8.2,420,,3,0.062,6.2,13.70%,13.7
APR THRU JUN,South,MISSISSIPPI,2015,5500,11000,0.12,0.3,0.003,89000,,0.023,2.3,0.06,6,12,0.001,0.1,10000,,11,0.017,1.7,10.10%,10.1
